iter	Passed	Remaining
0	303	303245
1	598	298676
2	826	274508
3	998	248666
4	1143	227587
5	1276	211394
6	1513	214736
7	1717	212986
8	2031	223659
9	2323	230018
10	2680	240977
11	3013	248102
12	3250	246763
13	3555	250406
14	3801	249639
15	4127	253855
16	4446	257130
17	4620	252075
18	4925	254318
19	5253	257410
20	5618	261951
21	5886	261690
22	6159	261645
23	6499	264293
24	6807	265487
25	7035	263559
26	7262	261723
27	7556	262307
28	7815	261672
29	8071	260983
30	8394	262384
31	8683	262664
32	8931	261717
33	9133	259497
34	9504	262048
35	9718	260241
36	10002	260329
37	10219	258714
38	10467	257927
39	10723	257373
40	10959	256352
41	11186	255167
42	11545	256943
43	11817	256751
44	12051	255768
45	12344	256015
46	12641	256319
47	12841	254699
48	13037	253030
49	13272	252168
50	13539	251944
51	13926	253896
52	14172	253241
53	14379	251900
54	14569	250338
55	14795	249411
56	14979	247822
57	15227	247309
58	15471	246749
59	15779	247212
60	16009	246437
61	16264	246063
62	16467	244925
63	16735	244751
64	16939	243661
65	17134	242475
66	17373	241929
67	17632	241664
68	17881	241268
69	18187	241630
70	18441	241299
71	18664	240566
72	18939	240509
73	19317	241734
74	19520	240752
75	19924	242235
76	20223	242419
77	20424	241430
78	20645	240689
79	20832	239570
80	21071	239073
81	21323	238715
82	21499	237525
83	21816	237906
84	22032	237168
85	22333	237353
86	22644	237638
87	22808	236377
88	23034	235777
89	23239	234980
90	23661	236356
91	23868	235573
92	24232	236327
93	24443	235594
94	24714	235440
95	24930	234758
96	25112	233779
97	25302	232887
98	25763	234477
99	25986	233878
100	26150	232765
101	26345	231947
102	26581	231488
103	27022	232807
104	27239	232180
105	27466	231655
106	27714	231302
107	27940	230768
108	28238	230832
109	28461	230281
110	28736	230151
111	28991	229858
112	29256	229650
113	29468	229024
114	29747	228925
115	29953	228269
116	30225	228109
117	30430	227452
118	30627	226747
119	30860	226309
120	31091	225866
121	31283	225137
122	31513	224690
123	31806	224695
124	32002	224018
125	32220	223500
126	32436	222970
127	32745	223075
128	32947	222461
129	33195	222156
130	33448	221882
131	33671	221417
132	33925	221152
133	34166	220807
134	34329	219963
135	34540	219433
136	34790	219157
137	35006	218663
138	35309	218718
139	35640	218934
140	35836	218325
141	36186	218646
142	36360	217908
143	36525	217122
144	36751	216708
145	36939	216069
146	37085	215196
147	37209	214203
148	37411	213672
149	37659	213401
150	37929	213258
151	38148	212827
152	38452	212868
153	38605	212079
154	38825	211662
155	39159	211862
156	39362	211353
157	39578	210918
158	39901	211052
159	40257	211351
160	40511	211112
161	40785	210979
162	40969	210375
163	41221	210128
164	41438	209704
165	41654	209277
166	41895	208974
167	42113	208561
168	42353	208258
169	42658	208271
170	42867	207820
171	43121	207585
172	43363	207292
173	43549	206733
174	43805	206513
175	43997	205989
176	44324	206095
177	44561	205783
178	44737	205191
179	45051	205233
180	45317	205056
181	45538	204674
182	45826	204590
183	46102	204455
184	46327	204091
185	46558	203754
186	46750	203252
187	47015	203067
188	47365	203245
189	47591	202889
190	47834	202606
191	48084	202357
192	48336	202111
193	48522	201591
194	48727	201156
195	48942	200763
196	49216	200614
197	49428	200210
198	49657	199876
199	49932	199728
200	50168	199424
201	50391	199071
202	50613	198714
203	51011	199044
204	51341	199104
205	51533	198629
206	51726	198159
207	51931	197739
208	52238	197705
209	52520	197575
210	52827	197541
211	53103	197384
212	53388	197260
213	53678	197155
214	53882	196732
215	54237	196862
216	54538	196791
217	54787	196530
218	55109	196532
219	55347	196230
220	55574	195895
221	55862	195770
222	56102	195479
223	56344	195194
224	56563	194829
225	56815	194579
226	56984	194047
227	57263	193893
228	57492	193565
229	57706	193189
230	57927	192840
231	58302	192999
232	58505	192590
233	58735	192272
234	58941	191874
235	59296	191960
236	59459	191423
237	59694	191121
238	59883	190673
239	60224	190712
240	60442	190356
241	60646	189958
242	60869	189623
243	61102	189317
244	61303	188915
245	61511	188534
246	61714	188141
247	61914	187739
248	62118	187352
249	62283	186849
250	62483	186455
251	62691	186084
252	62945	185852
253	63271	185828
254	63604	185825
255	63812	185456
256	64029	185112
257	64268	184833
258	64472	184454
259	64866	184619
260	65083	184278
261	65303	183946
262	65437	183375
263	65766	183347
264	65955	182932
265	66191	182648
266	66293	181995
267	66657	182064
268	66849	181661
269	67092	181398
270	67293	181021
271	67573	180858
272	67914	180856
273	68148	180567
274	68331	180145
275	68626	180019
276	69034	180186
277	69262	179882
278	69501	179608
279	69771	179413
280	70114	179402
281	70308	179013
282	70558	178763
283	70879	178695
284	71090	178350
285	71303	178009
286	71511	177656
287	71776	177447
288	71988	177106
289	72291	176990
290	72607	176903
291	72832	176593
292	73050	176268
293	73401	176262
294	73695	176120
295	73947	175875
296	74203	175639
297	74426	175327
298	74711	175160
299	74994	174988
300	75163	174549
301	75396	174259
302	75599	173904
303	75903	173778
304	76152	173528
305	76457	173402
306	76638	172998
307	76864	172695
308	77204	172647
309	77409	172297
310	77622	171967
311	77888	171753
312	78094	171408
313	78466	171426
314	78688	171115
315	78894	170771
316	79110	170450
317	79313	170100
318	79550	169825
319	79754	169478
320	79986	169191
321	80278	169033
322	80541	168812
323	80735	168448
324	81035	168305
325	81448	168394
326	81723	168196
327	81904	167805
328	82178	167604
329	82423	167344
330	82618	166985
331	82898	166795
332	83144	166538
333	83377	166255
334	83585	165923
335	83852	165707
336	84079	165414
337	84308	165124
338	84592	164942
339	84923	164852
340	85284	164817
341	85561	164617
342	85800	164347
343	86081	164154
344	86342	163925
345	86585	163661
346	87016	163750
347	87256	163481
348	87596	163395
349	87982	163396
350	88380	163415
351	88546	163005
352	88772	162706
353	89152	162690
354	89421	162470
355	89649	162174
356	89872	161871
357	90102	161580
358	90353	161328
359	90615	161094
360	90842	160798
361	91101	160559
362	91558	160668
363	91678	160185
364	91883	159852
365	92184	159686
366	92541	159615
367	92770	159323
368	93014	159056
369	93207	158704
370	93480	158488
371	93737	158245
372	93984	157985
373	94418	158036
374	94617	157695
375	94820	157361
376	95033	157045
377	95340	156882
378	95691	156792
379	95995	156623
380	96183	156267
381	96439	156020
382	96654	155707
383	96889	155426
384	97239	155330
385	97473	155049
386	97684	154730
387	98110	154751
388	98355	154486
389	98667	154325
390	98919	154071
391	99293	154006
392	99563	153778
393	99839	153560
394	100059	153255
395	100283	152957
396	100537	152705
397	100794	152457
398	101037	152189
399	101268	151902
400	101547	151688
401	102000	151731
402	102257	151482
403	102509	151226
404	102824	151063
405	102999	150694
406	103233	150410
407	103434	150080
408	103670	149802
409	104025	149695
410	104245	149392
411	104463	149089
412	104719	148839
413	104995	148616
414	105249	148364
415	105549	148174
416	105785	147896
417	106071	147688
418	106362	147485
419	106631	147252
